"Language Packs","Language Packs"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>"
"Italy","Italia"
"Italian (Italy)","Italiano (Italia)"
"Italian (Custom)","Italiano (Custom)"
"Italian language package it_IT - Community Edition (CE)","Pacchetto di lingua italiana it_IT - Community Edition (CE)"
"Italian language package it_ZZ - Community Edition (CE)","Pacchetto di lingua italiana it_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Il <span style='color:red'>%s</span> language pack nella versione <span style='color:red'>%s</span> ̬ stato installato correttamente."
"On the <a href='%s'>Magento Connect page of the Italian language pack</a>, you can find more information on the latest versions.","On the <a href='%s'>Magento Connect page of the Italian language pack</a>, you can find more information on the latest versions."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:"
"Development of current language pack versions","Development of current language pack versions"
"Report an error / send in patches, also happy for both published releases","Report an error / send in patches, also happy for both published releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","Active participation in the language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Note for detailed information, the README file on the GitHub page."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!"
"powered by","powered by"
"and","and"
"Using your own translations","Using your own translations"
"Recommended extensions","Recommended extensions"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions."
"Specific market adjustment for","Regolazione specifica di mercato per"
"Italian and European stores","Negozi italiani ed europei"
"Preconfigured for the Italian market","Pre configurato per il mercato italiano"
"Currently not available","Attualmente non disponibile"
"Common payment methods","Common payment methods"
"Debit / direct debit","Debit / direct debit"
"Cash On Delivery","Cash On Delivery"
"Payment in Advance","Payment in advance"
"Extension Key for the","Extension Key for the"
"on","on"
"custom stores","custom stores"
"This is your individual language pack that is only managed and maintained by you.","This is your individual language pack that is only managed and maintained by you."
"Adjust the file ""%s"" with your name and the link to your website.","Adjust the file ""%s"" with your name and the link to your website."
"Fill out the language files in ""app/locale/it_ZZ"" with your own translations and never lose again your customizations.","Fill out the language files in ""app/locale/it_ZZ"" with your own translations and never lose again your customizations."
